timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
5697080846,5697080566,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697084594,5697084312,0.0020000022,1.6459342e-09,0.001999997,1.29841676e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697088346,5697088057,0.0020000003,4.5282272e-10,0.0019999999,1.28385635e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697094587,5697094299,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697098336,5697098044,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697105806,5697105534,0.0020000003,1.0632959e-09,0.0019999994,1.35458745e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697109550,5697109280,0.0019999985,2.4020652e-09,0.0019999999,1.3552638e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697113325,5697113025,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697119545,5697119268,0.0020000022,1.4118191e-09,0.001999997,1.4268621e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697123307,5697123013,0.0020000003,3.6391434e-10,0.0019999999,1.4435444e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697130781,5697130504,0.0020000003,1.0042408e-09,0.0019999994,1.4393233e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697133289,5697133001,0.0020000003,7.713215e-10,0.0019999994,1.4481923e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697140772,5697140491,0.0019999985,1.30958e-09,0.0020000008,9.235321e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5697144521,5697144237,0.002000002,1.5863446e-09,0.0019999968,1.43660465e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697153271,5697152976,0.0020000022,2.8679805e-09,0.0019999957,1.3298692e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697154528,5697154232,0.0020000003,1.2092001e-09,0.001999999,1.3160759e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697158257,5697157969,0.0019999985,1.3259944e-09,0.0020000008,1.2781767e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697163247,5697162963,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697169504,5697169205,0.0020000003,1.910662e-10,0.002,1.2660609e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697173226,5697172951,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697179475,5697179193,0.0020000022,2.4018845e-09,0.0019999961,1.373336e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697183221,5697182939,0.002000004,3.1587246e-09,0.0019999933,1.3592873e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697189455,5697189180,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697193208,5697192926,0.0020000022,1.7051275e-09,0.0019999968,1.1998541e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697200690,5697200416,0.0020000003,6.572263e-10,0.0019999999,1.2161831e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697204456,5697204162,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697210676,5697210404,0.0019999985,1.7629201e-09,0.0020000003,1.2413556e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697214431,5697214150,0.0019999987,2.4325426e-09,0.0019999999,1.2179096e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697223169,5697222889,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697224424,5697224138,0.0019999985,1.6471893e-09,0.0020000008,1.1729066e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697228184,5697227882,0.0020000022,2.8695741e-09,0.0019999957,1.1705064e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
